[2025-01-14 11:09:11] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:09:34] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:10:11] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:11:11] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:12:12] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:13:13] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:14:14] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:15:15] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:16:16] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:17:17] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:22:44] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:23:45] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:24:45] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:25:45] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
